"filename", "language", "Vue", "JavaScript", "JSON", "comment", "blank", "total"
"d:\czcfiles\code\vue-admin-template\package.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\czcfiles\code\vue-admin-template\src\Home.vue", "Vue", 258, 0, 0, 7, 8, 273
"d:\czcfiles\code\vue-admin-template\src\api\forum.js", "JavaScript", 0, 12, 0, 0, 3, 15
"d:\czcfiles\code\vue-admin-template\src\api\movie.js", "JavaScript", 0, 40, 0, 0, 6, 46
"d:\czcfiles\code\vue-admin-template\src\api\system.js", "JavaScript", 0, 7, 0, 0, 1, 8
"d:\czcfiles\code\vue-admin-template\src\views\forum\comment\index.vue", "Vue", 349, 0, 0, 4, 1, 354
"d:\czcfiles\code\vue-admin-template\src\views\forum\essay\index.vue", "Vue", 349, 0, 0, 4, 1, 354
"d:\czcfiles\code\vue-admin-template\src\views\movie\comment\index.vue", "Vue", 261, 0, 0, 3, 0, 264
"d:\czcfiles\code\vue-admin-template\src\views\movie\list\index.vue", "Vue", 12, 0, 0, 0, 0, 12
"d:\czcfiles\code\vue-admin-template\src\views\movie\video\addFrom.vue", "Vue", 44, 0, 0, -1, -1, 42
"d:\czcfiles\code\vue-admin-template\src\views\movie\video\index.vue", "Vue", 48, 0, 0, 0, 1, 49
"d:\czcfiles\code\vue-admin-template\src\views\system\log\index.vue", "Vue", 52, 0, 0, -17, 0, 35
"d:\czcfiles\code\vue-admin-template\src\views\user\list\index.vue", "Vue", -24, 0, 0, 24, -1, -1
"Total", "-", 1349, 59, 1, 24, 19, 1452